Depth,PrunedNodes
13421552,63
7695048,127
13178384,155
8166840,31
8416000,63
13178992,52
7695080,14
13191440,186
7695848,15
13203344,189
7695304,27
7695176,31
8419456,127
7694120,50
13177776,224
13177328,216
7694216,15
13182064,34
7694440,26
13177680,177
7694184,31
8048048,15
7693544,49
7854080,127
13178480,60
7690248,96
13204976,60
7697288,31
13205360,77
7684232,63
13204720,156
13203696,162
13204016,82
7860864,31
13204528,109
7995872,156
13204080,107
13210520,63
7780088,63
13204304,84
8164536,63
13204496,138
13204272,130
13203312,107
7993280,125
13189520,94
7842944,254
13189776,187
13189680,377
13189744,156
8000256,15
7692360,26
13177072,284
8423360,31
13178000,453
13419504,63
7692808,30
8050608,7
13178448,148
7692104,15
7691816,25
7691720,30
7691144,47
7690984,30
7691112,58
7688936,91
8046640,30
13204784,15
7994784,63
13205392,46
13204400,187
13204176,101
13204560,114
7694368,31
13204592,155
13203824,15
13203920,147
13203856,107
8418528,63
13191120,93
13203280,80
7944096,76
13189648,328
13190032,298
13189840,140
13420880,190
13189424,220
13425328,31
13216152,7
8416864,63
13189456,187
7695496,63
13189360,92
7843552,158
13420400,190
13189552,157
13212728,31
7690312,15
8001312,62
7696992,63
7690920,28
7690408,31
13182640,289
7690888,31
7688968,59
8420096,31
7713832,63
7689288,62
13204368,140
13203952,96
7784504,126
13189936,266
13190000,109
7689576,61
7688104,106
13204656,46
13189712,156
7688712,125
7686376,63
13190192,31
7692448,249
13189392,283
7687240,206
13420496,63
7699304,31
7699944,31
7699528,15
7699784,31
7952640,15
13191344,31
13422384,63
7697640,15
13174928,279
7697416,31
7697800,31
7698088,62
13182544,38
7698056,31
7696776,125
8055408,63
8055056,63
7696360,63
7696488,31
7696744,63
7695720,125
7489440,63
8056784,63
7695688,127
7695368,126
13191376,251
13422416,31
7688424,15
8046960,7
8420000,31
8046768,7
8046576,15
13190704,31
13185552,31
7687816,15
7687176,18
7843456,63
13189488,125
13425392,127
8153712,127
8047792,10
8002400,31
8047600,18
8046480,15
8046800,7
8415168,31
8047088,15
7706856,127
8048944,2
8421184,63
8049008,6
8049904,3
8408064,15
8048208,14
8048656,3
8049040,7
8046992,31
7696576,127
13202352,53
8049232,7
13174608,388
8046096,30
8046608,30
8411744,127
13190768,125
8046384,15
13210872,116
8049072,15
13174096,170
8163032,63
13207128,127
8048464,30
7412912,36
13211160,63
13180656,9
7682656,127
8419936,31
13180368,25
13174416,184
13174864,156
13174736,217
13204240,102
13421616,63
13205488,127
7999040,15
7946080,63
13204336,107
13203120,92
13205424,163
13202672,147
13203600,46
13202992,123
7992992,125
13202544,130
7992512,63
7832152,63
13201328,243
13186992,239
13187888,185
13186352,204
13186832,138
7996928,31
13186384,358
13186960,251
13186320,375
8422464,63
7859520,123
8142896,127
13187056,249
13217912,15
13187280,252
13187152,219
13426672,63
13208600,127
8419200,63
13174000,131
13174640,523
7858208,126
13174320,155
7731848,63
13174512,77
8416416,63
7489152,60
7489504,31
8417184,187
7489888,58
7488512,110
13421104,126
13202800,90
13189584,62
7489024,31
13201232,131
7488928,61
7695552,94
7488704,63
7950656,126
7488128,63
7683968,126
13196144,63
13204112,108
7859776,187
7688744,15
7688392,31
7687720,63
13191856,172
